id,description
1," Brand new Lennar SolarPlus home in popular Westpark in Roseville. Open floor plan features 5 Bedrooms, 3 Baths, Great room, granite slab countertops, GE Profile stainless steel appliances, cocoa stained beech cabinets, and pantry closet. Upgraded carpeting and 18 x 18 tile flooring entire first floor. Large yard plus covered courtyard"
2," STUNNING 2007 CUSTOM ESTATE PERFECTLY SITUATED IN A QUIET GATED ENCLAVE TUCKED BACK IN A CUL-DE-SAC OVERLOOKING GOLF COURSE & CITY LIGHTS AT NIGHT. AT OVER 4800 SQ FT FEATURING 5 BDRMS, 5 BATHS,GOURMET KIT W/MULTIPLE DISHWASHERS,OVENS KNOTTY ALDER CAB,GOURGEOUS GRANITE,LG ISLAND, WRAP AROUND WET BAR,LG GREAT RM, HARDWD FLOORS,GAME RM,AMAZING HOME THEATER RM, STATE OF THE ART UPGRADES,SOLAR ENERGY HOME.INCREDIBLE VIEWS FROM INSIDE & MULTIPLE COVERED VERANDAS,4 CAR GAR W/TALL BOAT GARAGE & MORE"
3," Olive Ridge--where green meets luxury living! This beautiful 5 bedroom, 4-1/2 bath home features all the bells and whistles with Farmhouse and Craftsman influences. Ideal floor plan with a guest bedroom with a full bath down stairs, granite chefs kitchen with an adjoining family room which opens to the beautiful yard, beautiful finishes throughout--bonus Library all on a cul-de-sac with an over 15,000 sft lot. This is a winner"
4," Beautiful new Solarplus Lennar home in Westpark of Roseville with open floor plan great for entertaining. Features master suite, spacious kitchen with dark stain beechwood cabinetry, GE Profile stainless steel appliances, double oven, island w/sink & dining bar, nook, pantry, granite counters, and loft-style bonus room. Upgraded carpet & 18 inch tile throughout"
5," Fabulous new Solarplus Lennar home with luxury suite above garage-perfect for guest quarters, young adult or office! Master suite downstairs, loft-style bonus room, spacious kitchen with dark stain beechwood cabinetry, island w/dining bar & pantry, GE Profile stainless steel appliances, granite counters in kitchen & master bath, upgraded carpet & 18 inch tile"
6," Fabulous new Lennar SolarPlus home in Westpark with covered front porch and great room. Kitchen features granite counters, dark stained raised panel birch wood cabinets, GE stainless steel appliances and island with dining bar"
7," This gorgeous home has a great room that is huge! Walnut Beech cabinets thruout, Stainless GE Profile appliances, surround sound pre-wire in great room. Nice corner lot that could accomodate a boat or travel trailer on the side. Located in a great family neighborhood on a quite street"
8," This gorgeous home has a great room that is huge! alder cabinets thruout, Upgraded black GE appliances, numerous electrical upgrades inside & out, full granite kitchen, tons of upgraded tile. Beautiful Master Bath. Large Low-E glass windows plus Solar!!!! Look at the lot size - between 1/4 & 1/3 acre!! RV, Boat, you name it - it will fit on this lot"
9," SOLAR ELECTRIC HOME!!! Our most popular floor plan, the Sierra II ONE-story has a spacious pantry, large kitchen island, cozy great room, and generous sized secondary bedrooms. Includes, higher efficient AC unit, plus many more energy efficient upgrades. Granite Kitchen Countertop, Natural Beech Cabinets, Designer Tile. Just Beautiful! NO HOA DUES!! COMPLETED- 30 DAY CLOS"
10," NEW SOLAR ELECTRIC HOME! Our most popular 1-story floorplan has a large kitchen island, walk-in pantry, cozy great room, and generously sized secondary bedrooms. Includes higher efficient AC unit, furnace, radiant barrier, plus much more energy efficient upgrades. NO HOA DUES!!! Ready Now"
11," Circa 1900 Farmhouse, 4 Br & 2 BA and stunning detached Guest House! Beautifully remodeled with old world charm & modern day conveniences: 16 Kw Grid-Tie Solar Power System, newer roof, electrical & furnace! Gracious living with period crown molding, tile pavers, hexagon subway tile, French doors, inlaid oak flooring, lincresta ceiling, dormer windows & claw-foot tub. A one of a kind property with rose garden, brick courtyards, dovecot & portico"
12," Bank Repo-Energy Saving home.Home left in nice condition. Back yard backs up to parking lot of a business park,so lots of privac"
13," This is NOT a distressed foreclosure or bank owned property. Very nice 1415 Square foot, 3 bedroom 2 bath home built by PRODIGY HOMES. Granite counters, new carpet and four car garage"
14," Restricted to University of California Santa Cruz faculty & staff. Sixty year recorded ground lease, & recorded Conditions, Covenants and Restrictions. This new development of 45 homes is situated on University of California property and is bordered by the UCSC Arboretum, the UCSC Farm, & a permanent green belt. The site has sweeping views of Monterey Bay. Input for MLS statistical purposes only"
15," Restricted to University of California Santa Cruz faculty & staff. Sixty year recorded ground lease, & recorded Conditions, Covenants and Restrictions. This new development of 45 homes is situated on University of California property and is bordered by the UCSC Arboretum, the UCSC Farm, & a permanent green belt. The site has sweeping views of Monterey Bay. Input for MLS statistical purposes only"
16," Completely modeled, Better than NEW.Please, entertain with your PICKIEST Buyer Too much and extra to list!!! Covered Patio. Thank you for showing AS IS DFT not seller's fault. Termite and Roof available. Contact LA for report"
17," Mariposa, an all-single story community with oversize lots! Come & view our model for additional details"
18," Gorgeous 5 bedroom, 2 bath A frame Eichler in Upper Lucas Valley. Renovated in a warm, contemporary style, on Open Space, w/ ridgeline views. Kitchen w/granite, stainless steel, custom cabinetry. Luxurious bathrooms, light maple colored floors. Beautifully landscaped flat backyard. Green features: modern solar panels, drip irrigation, energy efficient windows and heating system. Exquisite setting on quiet street, Dixie schools, private HOA pool"
19," Like a new home- beautiful remodel by two experienced contractors that are licensed green builders. Almost everything is less than two years old- kitchen, baths, flooring, interior walls, ext.siding (most of it), ceiling, electrical, etc. Expanded mstr bdrm and redesigned entry. Imported, full body Italian porcelain tile (floor and hall bath). Gas stove, maple cabs, stainless apps. Slate driveway and back patio. See pics of yards. Dixie S.D"
20, Wow what a buy. and cute too. You must see to appreciate
21," Paradise found! .7 of an acre with year round stream in backyard. Live in Granite Bay in this gorgeous home, just painted inside and out, new carpet with plush pad, new kitchen with granite counters and stainless steel appliances, central vacuum, whole house fan, huge 3 car garage, pool. MUST SEE!!"
22, Bank owned home. 3 bedroom 2 bathroom home with a 3 car garage. located in a quiet neighborhood and is in the Elk Grove Unified School Dist. Close to all your needs. make this home your today
23," Not another 1 like it in the neighborhood!Orig owners have added onto &remodeled.The space in this house will suprise you!The kitchen will impress you w/its beautiful custom cabinetry, Wilsonart flooring & huge walk-in pantry.Features include:whole house fn*Tuff shed*office/den in Master*Move in ready"
24," Vacation at home in this entertainer,s dream home.Fabulous very large gourmet kitchen with 6 burner wolf range,opens to large deck w/ views,newer 42 ft pool with color lighting,spa gazebo nice patio,attached 3 car garage close to town, move in condition"
25," Just the perfect home that is waiting for you! Remodeled kitchen with maple cabinets, granite counters, stainless steel sink & new applicance! Solar panels that reduce PG&E bills significantly! New wall air conditioner and much, much more! Please see attachment for a list of all the amenities this home has. Move in condition! Close to shopping and freeway access. Don't miss this one"
26," Nice, large ranch-style home. Current home care facility. $35K in upgrades! 7 bedrooms, 3 baths, new roof, new stucco, new windows, new flooring, new kitchen cabinets, granite counter & more. Nice front patio, beautiful front yard landscaping, circular driveway & RV access. Easy freeway access & Folsom Lake"
27," 72 HOUR/PLEASE SHOW! 5.33 Acre estate w/many horse amenities surrounded by native oaks, towering pines and rolling hills. Custom built contemporary home designed with passive solar heating and cooling. Best value in Granite Bay. Your new lifestyle is waiting for you"
28," A big home in a cul de sac location, Master suite could be converted to 5th bedroom. 2 remote bedrooms off familyroom. House is over 1,900 sqft. Cozy conversation area with fireplace in living room. Make your offer now!!"
29," NEW construction in Orangevale is the one you've been looking for. The kitchen you've always dreamed of entertaining in. French Doors at Nook open to private courtyard, rear French Doors lead to covered Veranda w/fireplace. Includes SOLAR & Ca Green builder features that save our resources plus YOU MONEY"
30," Lots of light, vaulted ceilings, upgraded kitchen with gas stove and granite tile counters, HUGE master bedroom walk-in closet, one bedroom and full bath downstairs and more! Solar electric system.Average yearly bill $200! PRICED TO SELL BELOW MARKET VALUE"
