Address (Includes City),ZIP,Asking Price,Sale Price,Sale Date,Area (Sq Ft),Lot (Sq Ft),Beds,Baths,Year Built,Energy Features,Description,Classification,Solar Heating,Passive Solar,PV Power,Green Modified
1232 Kirkhill Dr Roseville," 95747	","$422,950 ","$422,950 ", 07/30/08,2753,6599,5,3,NA, Window(s) Low ," Brand new Lennar SolarPlus home in popular Westpark in Roseville. Open floor plan features 5 Bedrooms, 3 Baths, Great room, granite slab countertops, GE Profile stainless steel appliances, cocoa stained beech cabinets, and pantry closet. Upgraded carpeting and 18 x 18 tile flooring entire first floor. Large yard plus covered courtyard", Photovoltaic Power ,0,0,1,0
2111 Pyramid Ct Rocklin," 95765-4635	","$1,499,000 ","$1,275,000 ", 09/23/08,4822,20909,5,5,2007, Window(s) Low ," STUNNING 2007 CUSTOM ESTATE PERFECTLY SITUATED IN A QUIET GATED ENCLAVE TUCKED BACK IN A CUL-DE-SAC OVERLOOKING GOLF COURSE & CITY LIGHTS AT NIGHT. AT OVER 4800 SQ FT FEATURING 5 BDRMS, 5 BATHS,GOURMET KIT W/MULTIPLE DISHWASHERS,OVENS KNOTTY ALDER CAB,GOURGEOUS GRANITE,LG ISLAND, WRAP AROUND WET BAR,LG GREAT RM, HARDWD FLOORS,GAME RM,AMAZING HOME THEATER RM, STATE OF THE ART UPGRADES,SOLAR ENERGY HOME.INCREDIBLE VIEWS FROM INSIDE & MULTIPLE COVERED VERANDAS,4 CAR GAR W/TALL BOAT GARAGE & MORE", Photovoltaic Power ,1,0,1,0
230 Club Dr Novato," 94945	","$1,379,995 ","$1,210,000 ", 05/01/08,3933,15377,5,5,2007, Window(s) Low ," Olive Ridge--where green meets luxury living! This beautiful 5 bedroom, 4-1/2 bath home features all the bells and whistles with Farmhouse and Craftsman influences. Ideal floor plan with a guest bedroom with a full bath down stairs, granite chefs kitchen with an adjoining family room which opens to the beautiful yard, beautiful finishes throughout--bonus Library all on a cul-de-sac with an over 15,000 sft lot. This is a winner", Solar Heating ,1,0,0,0
2873 Market St Roseville," 95747	","$413,035 ","$341,000 ", 08/15/08,3019,3469,4,3,NA, Window(s) Low ," Beautiful new Solarplus Lennar home in Westpark of Roseville with open floor plan great for entertaining. Features master suite, spacious kitchen with dark stain beechwood cabinetry, GE Profile stainless steel appliances, double oven, island w/sink & dining bar, nook, pantry, granite counters, and loft-style bonus room. Upgraded carpet & 18 inch tile throughout", Photovoltaic Power ,0,0,1,0
3153 Ardley Dr Roseville," 95747	","$401,525 ","$385,990 ", 07/24/08,2909,4164,4,4,NA, Window(s) Low ," Fabulous new Solarplus Lennar home with luxury suite above garage-perfect for guest quarters, young adult or office! Master suite downstairs, loft-style bonus room, spacious kitchen with dark stain beechwood cabinetry, island w/dining bar & pantry, GE Profile stainless steel appliances, granite counters in kitchen & master bath, upgraded carpet & 18 inch tile", Photovoltaic Power ,0,0,1,0
3491 Rainhill Loop Roseville," 95747	","$331,830 ","$295,434 ", 11/20/08,1749,6281,3,3,NA, Window(s) Low ," Fabulous new Lennar SolarPlus home in Westpark with covered front porch and great room. Kitchen features granite counters, dark stained raised panel birch wood cabinets, GE stainless steel appliances and island with dining bar", Photovoltaic Power ,0,0,1,0
4030 Quarter Dome Circle Lot 19 Rancho Cordova," 95742	","$410,429 ","$397,720 ", 04/01/09,2597,9646,3,2,NA, Window(s) Low ," This gorgeous home has a great room that is huge! Walnut Beech cabinets thruout, Stainless GE Profile appliances, surround sound pre-wire in great room. Nice corner lot that could accomodate a boat or travel trailer on the side. Located in a great family neighborhood on a quite street", Passive Solar ,0,1,0,0
4065 Quarter Dome Circle Lot 8 Rancho Cordova," 95742	","$449,170 ","$424,000 ", 01/15/09,2597,12865,3,2,NA, Window(s) Low ," This gorgeous home has a great room that is huge! alder cabinets thruout, Upgraded black GE appliances, numerous electrical upgrades inside & out, full granite kitchen, tons of upgraded tile. Beautiful Master Bath. Large Low-E glass windows plus Solar!!!! Look at the lot size - between 1/4 & 1/3 acre!! RV, Boat, you name it - it will fit on this lot", Passive Solar ,0,1,0,0
4084 Preserve Way #27 Rancho Cordova," 95742	","$281,990 ","$270,190 ", 03/30/09,1713,4725,4,2,2008, Window(s) Low ," SOLAR ELECTRIC HOME!!! Our most popular floor plan, the Sierra II ONE-story has a spacious pantry, large kitchen island, cozy great room, and generous sized secondary bedrooms. Includes, higher efficient AC unit, plus many more energy efficient upgrades. Granite Kitchen Countertop, Natural Beech Cabinets, Designer Tile. Just Beautiful! NO HOA DUES!! COMPLETED- 30 DAY CLOS", Photovoltaic Power ,0,0,1,0
4207 Choteau Cir #Lot14 Rancho Cordova," 95742	","$266,275 ","$258,385 ", 03/30/09,1543,5779,3,2,2009, Window(s) Low ," NEW SOLAR ELECTRIC HOME! Our most popular 1-story floorplan has a large kitchen island, walk-in pantry, cozy great room, and generously sized secondary bedrooms. Includes higher efficient AC unit, furnace, radiant barrier, plus much more energy efficient upgrades. NO HOA DUES!!! Ready Now", Photovoltaic Power ,0,0,1,0
532 Howard St Petaluma," 94952	","$739,000 ","$739,000 ", 04/23/08,1929,6750,4,3,1900, Window(s) Low ," Circa 1900 Farmhouse, 4 Br & 2 BA and stunning detached Guest House! Beautifully remodeled with old world charm & modern day conveniences: 16 Kw Grid-Tie Solar Power System, newer roof, electrical & furnace! Gracious living with period crown molding, tile pavers, hexagon subway tile, French doors, inlaid oak flooring, lincresta ceiling, dormer windows & claw-foot tub. A one of a kind property with rose garden, brick courtyards, dovecot & portico", Solar Heating ,1,0,0,0
736 Coibion Ct Roseville," 95678-1345	","$325,845 ","$350,050 ", 01/08/09,2817,6490,4,3,2004, Window(s) Low ," Bank Repo-Energy Saving home.Home left in nice condition. Back yard backs up to parking lot of a business park,so lots of privac", Photovoltaic Power ,0,0,1,0
8461 Winterberry Dr Elk Grove," 95624-4203	","$289,000 ","$250,000 ", 11/14/08,1415,8407,3,2,1999, Window(s) Low ," This is NOT a distressed foreclosure or bank owned property. Very nice 1415 Square foot, 3 bedroom 2 bath home built by PRODIGY HOMES. Granite counters, new carpet and four car garage", Photovoltaic Power ,0,0,1,0
